model,in_mcs,elim_order,mean_sq_error,horizon
gru,True,,0.0052034409818525725,1
transformer,True,,0.0054158631469467,1
rbf_svm,True,,0.005435989023153306,1
laplacian_svm,True,,0.005462320804401554,1
bilstm,True,,0.005473527264900058,1
xgboost,True,,0.005518210062913019,1
lightgbm,True,,0.00557384124109372,1
qk_svr,True,,0.00561810848911283,1
emd_lstm,True,,0.005748170518314743,1
laplacian_svm,True,,0.026858675149962936,5
rbf_svm,True,,0.02692879760676533,5
xgboost,True,,0.027014368828967388,5
qk_svr,True,,0.02703381653255371,5
bilstm,True,,0.02727506271519665,5
lightgbm,True,,0.02797573783528542,5
gru,True,,0.028752786576104434,5
transformer,True,,0.030943366707966373,5
emd_lstm,True,,0.033076450460052434,5
gru,True,,0.005636356050352506,22
bilstm,True,,0.005662813409062517,22
rbf_svm,True,,0.005694598955738753,22
laplacian_svm,True,,0.005707836171699055,22
xgboost,True,,0.005790811984807373,22
qk_svr,True,,0.0058821029614697234,22
lightgbm,True,,0.0058877655378906935,22
transformer,True,,0.005971242559945157,22
emd_lstm,False,1.0,0.00766385878741284,22
